Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0024,SNDL,1.0,0.02,0.0001
Combined,0.36,0.22,0.4,0.06,0.82,0.13,13,-0.0031,SNDL,1.0,0.02,0.0001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,1.0,0.02,0.0001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0232,MARA,1.0,0.02,0.0001
Momentum,0.66,0.99,1.29,0.05,34.56,0.44,10,-0.0143,MARA,1.0,0.02,0.0001
Combined,0.09,0.07,0.69,-0.16,3.85,0.14,10,-0.0164,MARA,1.0,0.02,0.0001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,1.0,0.02,0.0001
Mean Reversion,-0.43,-0.38,0.74,-0.56,2.22,0.41,13,0.0099,LUMN,1.0,0.02,0.0001
Momentum,0.51,0.8,0.74,0.15,1.97,0.42,17,-0.0016,LUMN,1.0,0.02,0.0001
Combined,0.23,0.08,0.08,0.02,0.21,0.03,12,0.0016,LUMN,1.0,0.02,0.0001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,1.0,0.02,0.0001
Mean Reversion,0.0,0.01,0.67,-0.2,1.65,0.41,6,-0.0515,OPK,1.0,0.02,0.0001
Momentum,-0.45,-0.54,0.67,-0.41,1.25,0.4,20,0.0095,OPK,1.0,0.02,0.0001
Combined,-0.69,-0.33,0.23,-0.17,0.91,0.07,18,-0.0043,OPK,1.0,0.02,0.0001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,1.0,0.02,0.0001
Mean Reversion,-0.02,-0.02,0.48,-0.12,1.69,0.41,9,-0.0092,FSLR,1.0,0.02,0.0001
Momentum,0.12,0.17,0.49,-0.06,0.92,0.42,17,0.0029,FSLR,1.0,0.02,0.0001
Combined,0.18,0.11,0.2,0.02,0.49,0.09,15,0.0055,FSLR,1.0,0.02,0.0001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,1.0,0.02,0.0001
Mean Reversion,-0.3,-0.41,0.49,-0.23,1.42,0.4,6,0.014,ALB,1.0,0.02,0.0001
Momentum,0.13,0.18,0.49,-0.05,2.21,0.44,17,0.0002,ALB,1.0,0.02,0.0001
Combined,-0.23,-0.1,0.17,-0.05,0.56,0.05,16,-0.003,ALB,1.0,0.02,0.0001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,1.0,0.02,0.0001
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.0063,ENPH,1.0,0.02,0.0001
Momentum,0.48,0.62,0.7,0.1,2.45,0.45,16,0.0169,ENPH,1.0,0.02,0.0001
Combined,0.46,0.35,0.34,0.11,0.77,0.11,18,0.0145,ENPH,1.0,0.02,0.0001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,1.0,0.02,0.0001
Mean Reversion,-0.63,-0.92,0.6,-0.43,1.01,0.4,3,0.007,CHWY,1.0,0.02,0.0001
Momentum,0.45,0.58,0.6,0.09,2.89,0.44,9,0.0025,CHWY,1.0,0.02,0.0001
Combined,-0.4,-0.19,0.16,-0.07,0.48,0.04,6,0.0033,CHWY,1.0,0.02,0.0001
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,1.0,0.02,0.0001
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0585,PTON,1.0,0.02,0.0001
Momentum,0.72,0.96,0.81,0.29,4.85,0.45,7,0.0019,PTON,1.0,0.02,0.0001
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.0086,PTON,1.0,0.02,0.0001
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,1.0,0.02,0.0001
Mean Reversion,0.3,0.41,0.66,-0.02,4.25,0.43,10,0.0199,ROKU,1.0,0.02,0.0001
Momentum,0.0,0.0,0.66,-0.2,2.2,0.43,19,-0.01,ROKU,1.0,0.02,0.0001
Combined,0.42,0.23,0.21,0.07,0.75,0.06,23,-0.0024,ROKU,1.0,0.02,0.0001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,1.0,0.02,0.0001
Mean Reversion,0.56,0.76,0.41,0.15,0.6,0.41,11,-0.015,LVS,1.0,0.02,0.0001
Momentum,-0.31,-0.38,0.41,-0.19,1.1,0.45,19,0.0028,LVS,1.0,0.02,0.0001
Combined,0.37,0.17,0.12,0.04,0.3,0.06,20,-0.0021,LVS,1.0,0.02,0.0001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,1.0,0.02,0.0001
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.004,U,1.0,0.02,0.0001
Momentum,-0.07,-0.08,0.7,-0.25,1.82,0.42,12,-0.0,U,1.0,0.02,0.0001
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0093,U,1.0,0.02,0.0001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,1.0,0.02,0.0001
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0255,RUN,1.0,0.02,0.0001
Momentum,-0.23,-0.29,0.78,-0.39,3.5,0.44,21,0.0108,RUN,1.0,0.02,0.0001
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0059,RUN,1.0,0.02,0.0001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,1.0,0.02,0.0001
Mean Reversion,0.55,0.71,0.52,0.16,1.05,0.36,5,0.005,DOCN,1.0,0.02,0.0001
Momentum,-0.52,-0.63,0.59,-0.38,1.41,0.39,13,0.0084,DOCN,1.0,0.02,0.0001
Combined,-0.31,-0.16,0.23,-0.09,0.88,0.09,14,0.0025,DOCN,1.0,0.02,0.0001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,1.0,0.02,0.0001
Mean Reversion,0.32,0.38,0.19,0.04,0.58,0.41,5,0.0035,SPY,1.0,0.02,0.0001
Momentum,0.21,0.24,0.19,0.02,0.57,0.47,13,0.0034,SPY,1.0,0.02,0.0001
Combined,0.47,0.36,0.09,0.04,0.36,0.19,12,0.0014,SPY,1.0,0.02,0.0001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.02,0.0001
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0014,AAPL,1.0,0.02,0.0001
Momentum,0.42,0.53,0.29,0.08,0.99,0.45,13,-0.0046,AAPL,1.0,0.02,0.0001
Combined,-0.54,-0.23,0.12,-0.07,0.45,0.03,16,-0.0029,AAPL,1.0,0.02,0.0001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.02,0.0001
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0056,MSFT,1.0,0.02,0.0001
Momentum,0.17,0.2,0.28,0.01,0.64,0.46,13,-0.0144,MSFT,1.0,0.02,0.0001
Combined,-0.54,-0.2,0.14,-0.08,0.43,0.05,9,-0.0231,MSFT,1.0,0.02,0.0001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.0001
Mean Reversion,-0.09,-0.12,0.3,-0.07,1.43,0.39,7,0.0211,GOOGL,1.0,0.02,0.0001
Momentum,0.06,0.08,0.3,-0.03,1.11,0.46,15,-0.0101,GOOGL,1.0,0.02,0.0001
Combined,-0.14,-0.07,0.1,-0.02,0.43,0.06,12,-0.0054,GOOGL,1.0,0.02,0.0001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.0001
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.0118,NVDA,1.0,0.02,0.0001
Momentum,0.85,1.24,0.5,0.35,3.2,0.46,11,-0.0147,NVDA,1.0,0.02,0.0001
Combined,0.01,0.0,0.13,-0.01,0.23,0.01,12,-0.0017,NVDA,1.0,0.02,0.0001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.0001
Mean Reversion,-0.0,-0.0,0.33,-0.05,1.24,0.41,11,-0.0001,AMZN,1.0,0.02,0.0001
Momentum,0.03,0.04,0.33,-0.04,0.6,0.43,21,-0.0045,AMZN,1.0,0.02,0.0001
Combined,0.16,0.07,0.1,0.01,0.26,0.05,20,0.0033,AMZN,1.0,0.02,0.0001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.0001
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0063,PLUG,1.0,0.02,0.0005
Momentum,0.25,0.35,0.86,-0.14,24.49,0.43,13,-0.0113,PLUG,1.0,0.02,0.0005
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.011,PLUG,1.0,0.02,0.0005
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,1.0,0.02,0.0005
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.021,FUBO,1.0,0.02,0.0005
Momentum,0.02,0.03,0.96,-0.36,1.41,0.42,22,0.004,FUBO,1.0,0.02,0.0005
Combined,-0.17,-0.07,0.29,-0.09,0.65,0.06,23,0.0006,FUBO,1.0,0.02,0.0005
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,1.0,0.02,0.0005
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.89,0.41,6,0.0056,RIOT,1.0,0.02,0.0005
Momentum,0.67,1.07,1.07,0.18,25.91,0.43,14,0.0402,RIOT,1.0,0.02,0.0005
Combined,-0.13,-0.06,0.34,-0.1,0.72,0.06,14,0.0201,RIOT,1.0,0.02,0.0005
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,1.0,0.02,0.0005
Mean Reversion,-0.57,-0.77,0.62,-0.42,1.03,0.39,7,-0.0156,SOFI,1.0,0.02,0.0005
Momentum,0.29,0.37,0.62,-0.01,1.71,0.4,13,0.0256,SOFI,1.0,0.02,0.0005
Combined,-0.49,-0.19,0.17,-0.09,0.5,0.03,10,0.011,SOFI,1.0,0.02,0.0005
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,1.0,0.02,0.0005
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0087,BCLI,1.0,0.02,0.0005
Momentum,-0.43,-0.44,1.05,-0.65,3.39,0.42,19,-0.02,BCLI,1.0,0.02,0.0005
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.009,BCLI,1.0,0.02,0.0005
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,1.0,0.02,0.0005
Mean Reversion,0.35,0.39,1.06,-0.22,3.88,0.41,4,0.0199,SNDL,1.0,0.02,0.0005
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0032,SNDL,1.0,0.02,0.0005
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.0035,SNDL,1.0,0.02,0.0005
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,1.0,0.02,0.0005
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0239,MARA,1.0,0.02,0.0005
Momentum,0.66,0.99,1.29,0.05,34.49,0.44,10,-0.0151,MARA,1.0,0.02,0.0005
Combined,0.09,0.07,0.69,-0.16,3.85,0.14,10,-0.0168,MARA,1.0,0.02,0.0005
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,1.0,0.02,0.0005
Mean Reversion,-0.43,-0.39,0.74,-0.56,2.2,0.41,13,0.0092,LUMN,1.0,0.02,0.0005
Momentum,0.51,0.8,0.74,0.14,1.94,0.42,17,-0.0023,LUMN,1.0,0.02,0.0005
Combined,0.22,0.08,0.08,0.02,0.21,0.03,12,0.0012,LUMN,1.0,0.02,0.0005
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,1.0,0.02,0.0005
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0522,OPK,1.0,0.02,0.0005
Momentum,-0.45,-0.54,0.67,-0.42,1.25,0.4,20,0.0087,OPK,1.0,0.02,0.0005
Combined,-0.7,-0.34,0.23,-0.17,0.91,0.07,18,-0.0047,OPK,1.0,0.02,0.0005
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,1.0,0.02,0.0005
Mean Reversion,-0.02,-0.03,0.48,-0.12,1.69,0.41,9,-0.0099,FSLR,1.0,0.02,0.0005
Momentum,0.12,0.17,0.49,-0.06,0.92,0.42,17,0.0021,FSLR,1.0,0.02,0.0005
Combined,0.17,0.1,0.2,0.01,0.49,0.09,15,0.0051,FSLR,1.0,0.02,0.0005
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,1.0,0.02,0.0005
Mean Reversion,-0.3,-0.42,0.49,-0.23,1.42,0.4,6,0.0133,ALB,1.0,0.02,0.0005
Momentum,0.13,0.17,0.49,-0.06,2.21,0.44,17,-0.0006,ALB,1.0,0.02,0.0005
Combined,-0.24,-0.11,0.17,-0.05,0.56,0.05,16,-0.0034,ALB,1.0,0.02,0.0005
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,1.0,0.02,0.0005
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.0071,ENPH,1.0,0.02,0.0005
Momentum,0.48,0.61,0.7,0.09,2.43,0.45,16,0.0162,ENPH,1.0,0.02,0.0005
Combined,0.46,0.35,0.34,0.1,0.76,0.11,18,0.0141,ENPH,1.0,0.02,0.0005
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,1.0,0.02,0.0005
Mean Reversion,-0.63,-0.92,0.6,-0.43,1.01,0.4,3,0.0063,CHWY,1.0,0.02,0.0005
Momentum,0.45,0.58,0.6,0.09,2.89,0.44,9,0.0017,CHWY,1.0,0.02,0.0005
Combined,-0.4,-0.2,0.16,-0.07,0.48,0.04,6,0.0029,CHWY,1.0,0.02,0.0005
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,1.0,0.02,0.0005
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0592,PTON,1.0,0.02,0.0005
Momentum,0.72,0.95,0.81,0.29,4.84,0.45,7,0.0012,PTON,1.0,0.02,0.0005
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.009,PTON,1.0,0.02,0.0005
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,1.0,0.02,0.0005
Mean Reversion,0.3,0.41,0.66,-0.02,4.24,0.43,10,0.0191,ROKU,1.0,0.02,0.0005
Momentum,-0.0,-0.0,0.66,-0.2,2.19,0.43,19,-0.0108,ROKU,1.0,0.02,0.0005
Combined,0.41,0.22,0.21,0.07,0.75,0.06,23,-0.0028,ROKU,1.0,0.02,0.0005
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,1.0,0.02,0.0005
Mean Reversion,0.55,0.75,0.41,0.15,0.6,0.41,11,-0.0158,LVS,1.0,0.02,0.0005
Momentum,-0.32,-0.39,0.41,-0.19,1.1,0.45,19,0.002,LVS,1.0,0.02,0.0005
Combined,0.36,0.16,0.12,0.04,0.3,0.06,20,-0.0025,LVS,1.0,0.02,0.0005
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,1.0,0.02,0.0005
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.0033,U,1.0,0.02,0.0005
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0008,U,1.0,0.02,0.0005
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0097,U,1.0,0.02,0.0005
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,1.0,0.02,0.0005
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0263,RUN,1.0,0.02,0.0005
Momentum,-0.24,-0.3,0.78,-0.39,3.49,0.44,21,0.01,RUN,1.0,0.02,0.0005
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0063,RUN,1.0,0.02,0.0005
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,1.0,0.02,0.0005
Mean Reversion,0.55,0.7,0.52,0.16,1.05,0.36,5,0.0042,DOCN,1.0,0.02,0.0005
Momentum,-0.52,-0.63,0.59,-0.38,1.41,0.39,13,0.0076,DOCN,1.0,0.02,0.0005
Combined,-0.31,-0.16,0.23,-0.09,0.88,0.09,14,0.0021,DOCN,1.0,0.02,0.0005
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,1.0,0.02,0.0005
Mean Reversion,0.32,0.38,0.19,0.04,0.58,0.41,5,0.0028,SPY,1.0,0.02,0.0005
Momentum,0.2,0.23,0.19,0.02,0.58,0.47,13,0.0026,SPY,1.0,0.02,0.0005
Combined,0.46,0.35,0.09,0.04,0.37,0.19,12,0.001,SPY,1.0,0.02,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,1.0,0.02,0.0005
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0022,AAPL,1.0,0.02,0.0005
Momentum,0.42,0.52,0.29,0.08,0.99,0.45,13,-0.0054,AAPL,1.0,0.02,0.0005
Combined,-0.55,-0.23,0.12,-0.07,0.45,0.03,16,-0.0033,AAPL,1.0,0.02,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,1.0,0.02,0.0005
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0049,MSFT,1.0,0.02,0.0005
Momentum,0.17,0.2,0.28,0.01,0.65,0.46,13,-0.0152,MSFT,1.0,0.02,0.0005
Combined,-0.55,-0.2,0.14,-0.09,0.43,0.05,9,-0.0235,MSFT,1.0,0.02,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.0005
Mean Reversion,-0.09,-0.13,0.3,-0.07,1.43,0.39,7,0.0203,GOOGL,1.0,0.02,0.0005
Momentum,0.06,0.07,0.3,-0.03,1.12,0.46,15,-0.0109,GOOGL,1.0,0.02,0.0005
Combined,-0.14,-0.07,0.1,-0.02,0.43,0.06,12,-0.0058,GOOGL,1.0,0.02,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.0005
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.011,NVDA,1.0,0.02,0.0005
Momentum,0.84,1.23,0.5,0.34,3.2,0.46,11,-0.0155,NVDA,1.0,0.02,0.0005
Combined,0.0,0.0,0.13,-0.01,0.24,0.01,12,-0.0021,NVDA,1.0,0.02,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.0005
Mean Reversion,-0.01,-0.01,0.33,-0.05,1.24,0.41,11,-0.0009,AMZN,1.0,0.02,0.0005
Momentum,0.02,0.03,0.33,-0.05,0.6,0.43,21,-0.0053,AMZN,1.0,0.02,0.0005
Combined,0.14,0.06,0.1,0.01,0.26,0.05,20,0.0029,AMZN,1.0,0.02,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.0005
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0072,PLUG,1.0,0.02,0.001
Momentum,0.25,0.35,0.86,-0.14,24.48,0.43,13,-0.0122,PLUG,1.0,0.02,0.001
Combined,-0.14,-0.1,0.35,-0.11,0.83,0.11,9,-0.0115,PLUG,1.0,0.02,0.001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,1.0,0.02,0.001
Mean Reversion,-0.21,-0.29,0.93,-0.47,1.09,0.39,7,-0.0219,FUBO,1.0,0.02,0.001
Momentum,0.02,0.03,0.96,-0.37,1.4,0.42,22,0.003,FUBO,1.0,0.02,0.001
Combined,-0.17,-0.08,0.29,-0.09,0.65,0.06,23,0.0001,FUBO,1.0,0.02,0.001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,1.0,0.02,0.001
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.89,0.41,6,0.0047,RIOT,1.0,0.02,0.001
Momentum,0.67,1.06,1.07,0.17,25.9,0.43,14,0.0392,RIOT,1.0,0.02,0.001
Combined,-0.14,-0.06,0.34,-0.1,0.72,0.06,14,0.0196,RIOT,1.0,0.02,0.001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,1.0,0.02,0.001
Mean Reversion,-0.57,-0.78,0.62,-0.42,1.03,0.39,7,-0.0165,SOFI,1.0,0.02,0.001
Momentum,0.29,0.36,0.62,-0.02,1.71,0.4,13,0.0246,SOFI,1.0,0.02,0.001
Combined,-0.5,-0.2,0.17,-0.1,0.5,0.03,10,0.0105,SOFI,1.0,0.02,0.001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,1.0,0.02,0.001
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0078,BCLI,1.0,0.02,0.001
Momentum,-0.43,-0.45,1.05,-0.66,3.38,0.42,19,-0.0209,BCLI,1.0,0.02,0.001
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.0095,BCLI,1.0,0.02,0.001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,1.0,0.02,0.001
Mean Reversion,0.34,0.39,1.06,-0.22,3.88,0.41,4,0.019,SNDL,1.0,0.02,0.001
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0042,SNDL,1.0,0.02,0.001
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.004,SNDL,1.0,0.02,0.001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,1.0,0.02,0.001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0248,MARA,1.0,0.02,0.001
Momentum,0.66,0.99,1.29,0.05,34.41,0.44,10,-0.016,MARA,1.0,0.02,0.001
Combined,0.09,0.06,0.69,-0.16,3.84,0.14,10,-0.0173,MARA,1.0,0.02,0.001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,1.0,0.02,0.001
Mean Reversion,-0.43,-0.39,0.74,-0.56,2.18,0.41,13,0.0082,LUMN,1.0,0.02,0.001
Momentum,0.5,0.79,0.74,0.14,1.91,0.42,17,-0.0033,LUMN,1.0,0.02,0.001
Combined,0.21,0.07,0.08,0.01,0.21,0.03,12,0.0007,LUMN,1.0,0.02,0.001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,1.0,0.02,0.001
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0531,OPK,1.0,0.02,0.001
Momentum,-0.46,-0.55,0.67,-0.42,1.25,0.4,20,0.0078,OPK,1.0,0.02,0.001
Combined,-0.7,-0.34,0.23,-0.17,0.91,0.07,18,-0.0052,OPK,1.0,0.02,0.001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,1.0,0.02,0.001
Mean Reversion,-0.02,-0.03,0.48,-0.12,1.68,0.41,9,-0.0109,FSLR,1.0,0.02,0.001
Momentum,0.11,0.16,0.49,-0.06,0.92,0.42,17,0.0011,FSLR,1.0,0.02,0.001
Combined,0.17,0.1,0.2,0.01,0.49,0.09,15,0.0046,FSLR,1.0,0.02,0.001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,1.0,0.02,0.001
Mean Reversion,-0.3,-0.42,0.49,-0.24,1.41,0.4,6,0.0123,ALB,1.0,0.02,0.001
Momentum,0.12,0.16,0.49,-0.06,2.21,0.44,17,-0.0015,ALB,1.0,0.02,0.001
Combined,-0.25,-0.11,0.17,-0.05,0.56,0.05,16,-0.0039,ALB,1.0,0.02,0.001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,1.0,0.02,0.001
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.008,ENPH,1.0,0.02,0.001
Momentum,0.48,0.61,0.7,0.09,2.41,0.45,16,0.0152,ENPH,1.0,0.02,0.001
Combined,0.46,0.35,0.34,0.1,0.76,0.11,18,0.0136,ENPH,1.0,0.02,0.001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,1.0,0.02,0.001
Mean Reversion,-0.63,-0.93,0.6,-0.43,1.01,0.4,3,0.0055,CHWY,1.0,0.02,0.001
Momentum,0.45,0.58,0.6,0.09,2.88,0.43,9,0.0008,CHWY,1.0,0.02,0.001
Combined,-0.41,-0.2,0.16,-0.07,0.48,0.04,6,0.0024,CHWY,1.0,0.02,0.001
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,1.0,0.02,0.001
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0601,PTON,1.0,0.02,0.001
Momentum,0.72,0.95,0.81,0.29,4.83,0.45,7,0.0002,PTON,1.0,0.02,0.001
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.0095,PTON,1.0,0.02,0.001
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,1.0,0.02,0.001
Mean Reversion,0.3,0.41,0.66,-0.02,4.23,0.43,10,0.0182,ROKU,1.0,0.02,0.001
Momentum,-0.01,-0.01,0.66,-0.2,2.18,0.43,19,-0.0117,ROKU,1.0,0.02,0.001
Combined,0.4,0.22,0.22,0.07,0.75,0.06,23,-0.0033,ROKU,1.0,0.02,0.001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,1.0,0.02,0.001
Mean Reversion,0.55,0.75,0.41,0.15,0.6,0.41,11,-0.0167,LVS,1.0,0.02,0.001
Momentum,-0.33,-0.4,0.41,-0.2,1.11,0.45,19,0.001,LVS,1.0,0.02,0.001
Combined,0.35,0.16,0.12,0.03,0.3,0.06,20,-0.003,LVS,1.0,0.02,0.001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,1.0,0.02,0.001
Mean Reversion,0.18,0.23,0.69,-0.11,1.34,0.38,5,0.0024,U,1.0,0.02,0.001
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0017,U,1.0,0.02,0.001
Combined,0.2,0.09,0.27,0.02,0.55,0.06,14,-0.0102,U,1.0,0.02,0.001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,1.0,0.02,0.001
Mean Reversion,0.33,0.5,0.78,-0.04,1.64,0.41,13,-0.0272,RUN,1.0,0.02,0.001
Momentum,-0.24,-0.3,0.78,-0.39,3.48,0.44,21,0.0091,RUN,1.0,0.02,0.001
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0068,RUN,1.0,0.02,0.001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,1.0,0.02,0.001
